unit_id,time_cycles,sensor_3,sensor_4,sensor_7,sensor_9,sensor_11,sensor_12,sensor_17,sensor_20,sensor_21,RUL
1,1,1589.7,1400.6,554.36,9046.19,47.47,521.66,392,39.06,23.419,192
1,2,1591.82,1403.14,553.75,9044.07,47.49,522.28,392,39.0,23.4236,191
1,3,1587.99,1404.2,554.26,9052.94,47.27,522.42,390,38.95,23.3442,190
1,4,1582.79,1401.87,554.45,9049.48,47.13,522.86,392,38.88,23.3739,189
1,5,1582.85,1406.22,554.0,9055.15,47.28,522.19,393,38.9,23.4044,188
1,6,1584.47,1398.37,554.67,9049.68,47.16,521.68,391,38.98,23.3669,187
1,7,1592.32,1397.77,554.34,9059.13,47.36,522.32,392,39.1,23.3774,186
1,8,1582.96,1400.97,553.85,9040.8,47.24,522.47,391,38.97,23.3106,185
1,9,1590.98,1394.8,553.69,9046.46,47.29,521.79,392,39.05,23.4066,184
1,10,1591.24,1400.46,553.59,9051.7,47.03,521.79,393,38.95,23.4694,183
1,11,1581.75,1400.64,554.54,9049.61,47.15,521.4,392,38.94,23.4787,182
1,12,1583.41,1400.15,554.52,9049.37,47.18,521.8,391,39.06,23.366,181
1,13,1582.19,1400.83,553.44,9046.82,47.38,521.85,393,38.93,23.2757,180
1,14,1592.95,1399.16,554.48,9047.37,47.44,521.67,393,39.18,23.3826,179
1,15,1583.82,1402.13,553.64,9052.22,47.3,522.5,391,38.99,23.35,178
1,16,1587.98,1404.5,553.94,9049.34,47.24,521.49,392,38.97,23.455,177
1,17,1584.96,1399.95,553.8,9054.92,47.12,521.89,392,38.81,23.3319,176
1,18,1591.04,1396.12,554.2,9049.55,47.21,521.76,392,38.89,23.3987,175
1,19,1587.56,1400.35,554.18,9053.99,47.4,521.89,391,38.8,23.3464,174
1,20,1581.11,1405.23,554.81,9045.9,47.22,522.07,392,39.03,23.422,173
1,21,1586.07,1398.13,554.08,9048.15,47.15,522.42,392,39.09,23.3101,172
1,22,1592.93,1400.57,553.63,9061.21,47.24,522.0,392,38.92,23.3792,171
1,23,1588.19,1394.75,553.98,9046.28,47.25,521.52,392,38.94,23.4562,170
