unit_id,true_rul,predicted_rul,error,abs_error,percent_error,maintenance_cost,cost_category,risk_level,rul_bin
1,112,152.95277277026707,40.952772770267075,40.952772770267075,36.56497568773846,260503.44986726373,Late,Critical Risk,101-125
2,98,145.19965219426078,47.19965219426078,47.19965219426078,48.16291040230692,315304.3479299019,Late,Critical Risk,76-100
3,69,75.66165995297673,6.661659952976734,6.661659952976734,9.654579641995268,112041.01415200531,Late,Moderate Risk,51-75
4,82,69.43952785218686,-12.560472147813144,12.560472147813144,-15.317648960747738,478023.6073906572,Early,Low Risk (Conservative),76-100
5,91,95.48715717240027,4.4871571724002735,4.4871571724002735,4.930941947692609,100000.0,Optimal,Minimal Risk,76-100
6,93,101.3874845457441,8.387484545744101,8.387484545744101,9.018800586821614,118212.28250400054,Late,Moderate Risk,76-100
7,91,96.95754466286046,5.957544662860457,5.957544662860457,6.546752376769732,105261.23441132119,Late,Moderate Risk,76-100
8,95,97.84363073297912,2.843630732979122,2.843630732979122,2.9932955083990755,100000.0,Optimal,Minimal Risk,76-100
9,111,141.72493178499462,30.724931784994624,30.724931784994624,27.68011872522038,215878.07110357936,Late,Critical Risk,101-125
10,96,87.46256651768991,-8.537433482310092,8.537433482310092,-8.893159877406347,276871.6741155046,Early,Low Risk,76-100
11,97,90.42844561311024,-6.571554386889758,6.571554386889758,-6.77479833699975,178577.71934448794,Early,Low Risk,76-100
12,124,85.16456718703982,-38.83543281296018,38.83543281296018,-31.318897429806597,1791771.640648009,Early,Low Risk (Conservative),101-125
13,95,90.02535153430198,-4.974648465698024,4.974648465698024,-5.236472069155814,100000.0,Optimal,Minimal Risk,76-100
14,107,146.32894269569823,39.32894269569823,39.32894269569823,36.75602121093293,260415.62007335623,Late,Critical Risk,101-125
15,83,125.8420858942226,42.842085894222606,42.842085894222606,51.616970956894704,327964.3728567627,Late,Critical Risk,76-100
16,84,95.16968376499442,11.169683764994417,11.169683764994417,13.297242577374307,136724.30812496677,Late,High Risk,76-100
17,50,48.88619769389439,-1.1138023061056117,1.1138023061056117,-2.2276046122112234,100000.0,Optimal,Minimal Risk,26-50
18,28,30.414232337032303,2.4142323370323027,2.4142323370323027,8.622258346543939,100000.0,Optimal,Minimal Risk,26-50
19,87,125.78439467631716,38.78439467631716,38.78439467631716,44.579763995766854,294163.1877949262,Late,Critical Risk,76-100
20,16,15.171022598288708,-0.8289774017112919,0.8289774017112919,-5.181108760695574,100000.0,Optimal,Minimal Risk,0-25
21,57,69.26217397087603,12.262173970876034,12.262173970876034,21.512585913817606,163703.28044628102,Late,High Risk,51-75
22,111,157.4621111227597,46.462111122759694,46.462111122759694,41.85775776825197,286766.26631873735,Late,Critical Risk,101-125
23,113,145.9378350307735,32.9378350307735,32.9378350307735,29.148526575905752,223618.73907421902,Late,Critical Risk,101-125
24,20,21.322987267495765,1.3229872674957655,1.3229872674957655,6.614936337478827,100000.0,Optimal,Minimal Risk,0-25
25,145,162.53429268090025,17.53429268090025,17.53429268090025,12.092615642000174,143221.69889965604,Late,High Risk,126-150
26,119,141.67304682333935,22.673046823339348,22.673046823339348,19.05298052381458,174256.49925772834,Late,Critical Risk,101-125
27,66,72.05016511565204,6.050165115652035,6.050165115652035,9.166916841897024,107955.79633069724,Late,Moderate Risk,51-75
28,97,89.66166226879793,-7.338337731202074,7.338337731202074,-7.565296630105231,216916.8865601037,Early,Low Risk,76-100
29,90,90.93438905118587,0.9343890511858746,0.9343890511858746,1.038210056873194,100000.0,Optimal,Minimal Risk,76-100
30,115,89.86763703126996,-25.132362968730035,25.132362968730035,-21.8542286684609,1106618.1484365016,Early,Low Risk (Conservative),101-125
31,8,11.62608320327876,3.6260832032787604,3.6260832032787604,45.32604004098451,100000.0,Optimal,Minimal Risk,0-25
32,48,59.097872413018536,11.097872413018536,11.097872413018536,23.12056752712195,163519.50430227641,Late,High Risk,26-50
33,106,124.12879341120362,18.128793411203617,18.128793411203617,17.102635293588317,161928.27080756423,Late,High Risk,101-125
34,7,3.534680116061097,-3.465319883938903,3.465319883938903,-49.504569770555754,100000.0,Optimal,Minimal Risk,0-25
35,11,16.318368700223296,5.318368700223296,5.318368700223296,48.34880636566633,114471.30455560435,Late,Moderate Risk,0-25
36,19,23.114145361050785,4.1141453610507845,4.1141453610507845,21.65339663710939,100000.0,Optimal,Minimal Risk,0-25
37,21,29.3480075414194,8.348007541419399,8.348007541419399,39.7524168639019,179714.46527189045,Late,Moderate Risk,0-25
38,50,51.40194178178463,1.401941781784629,1.401941781784629,2.803883563569258,100000.0,Optimal,Minimal Risk,26-50
39,142,186.9012773257482,44.9012773257482,44.9012773257482,31.620617835033944,240497.45537235282,Late,Critical Risk,126-150
40,28,32.53662662891658,4.536626628916579,4.536626628916579,16.202237960416355,100000.0,Optimal,Minimal Risk,26-50
41,18,21.56140025242424,3.5614002524242387,3.5614002524242387,19.785556957912437,100000.0,Optimal,Minimal Risk,0-25
42,10,13.743006772993906,3.7430067729939065,3.7430067729939065,37.43006772993907,100000.0,Optimal,Minimal Risk,0-25
43,59,53.59084133397393,-5.409158666026073,5.409158666026073,-9.168065535637412,120457.93330130365,Early,Low Risk,51-75
44,109,125.5333715233756,16.533371523375607,16.533371523375607,15.168230755390466,152905.37396043856,Late,High Risk,101-125
45,114,87.03956463227462,-26.96043536772538,26.96043536772538,-23.649504708531037,1198021.768386269,Early,Low Risk (Conservative),101-125
46,47,41.419316684738845,-5.580683315261155,5.580683315261155,-11.873794287789691,129034.16576305772,Early,Low Risk,26-50
47,135,99.95968102083944,-35.04031897916056,35.04031897916056,-25.95579183641523,1602015.9489580279,Early,Low Risk (Conservative),126-150
48,92,130.7741798320934,38.77417983209341,38.77417983209341,42.14584764357979,283555.3251744207,Late,Critical Risk,76-100
49,21,22.23958422680911,1.2395842268091108,1.2395842268091108,5.902782032424338,100000.0,Optimal,Minimal Risk,0-25
50,79,190.33314091397028,111.33314091397028,111.33314091397028,140.9280264733801,350000.0,Late,Critical Risk,76-100
51,114,81.33916499481074,-32.660835005189256,32.660835005189256,-28.649855267709874,1483041.7502594627,Early,Low Risk (Conservative),101-125
52,29,33.78373741571603,4.783737415716033,4.783737415716033,16.495646261089767,100000.0,Optimal,Minimal Risk,26-50
53,26,28.42454329140091,2.4245432914009086,2.4245432914009086,9.325166505388111,100000.0,Optimal,Minimal Risk,26-50
54,97,123.40820054826403,26.408200548264034,26.408200548264034,27.2249490188289,210351.54921785585,Late,Critical Risk,76-100
55,137,122.14229346054064,-14.857706539459357,14.857706539459357,-10.845041269678363,592885.326972968,Early,Low Risk (Conservative),126-150
56,15,19.32045623491979,4.320456234919789,4.320456234919789,28.803041566131927,100000.0,Optimal,Minimal Risk,0-25
57,103,93.71632730361874,-9.28367269638126,9.28367269638126,-9.013274462506077,314183.634819063,Early,Low Risk,101-125
58,37,36.208624936076525,-0.7913750639234749,0.7913750639234749,-2.1388515241175,100000.0,Optimal,Minimal Risk,26-50
59,114,141.95264897233676,27.95264897233676,27.95264897233676,24.51986751959365,200669.51303656475,Late,Critical Risk,101-125
60,100,89.25338958249094,-10.74661041750906,10.74661041750906,-10.74661041750906,387330.520875453,Early,Low Risk (Conservative),76-100
61,21,22.52936788828711,1.5293678882871085,1.5293678882871085,7.282704229938612,100000.0,Optimal,Minimal Risk,0-25
62,54,54.97160149469015,0.9716014946901481,0.9716014946901481,1.799262027203978,100000.0,Optimal,Minimal Risk,51-75
63,72,63.98274507997397,-8.017254920026033,8.017254920026033,-11.135076277813935,250862.74600130168,Early,Low Risk,51-75
64,28,30.535775798592113,2.5357757985921126,2.5357757985921126,9.056342137828974,100000.0,Optimal,Minimal Risk,26-50
